order_id,customer_id,product_id,order_date,quantity,sales_amount
ORD00001,CUST0501,PROD029,2025-06-28,4,10621.92
ORD00002,CUST0202,PROD020,2024-11-23,2,3848.7
ORD00003,CUST0471,PROD024,2026-04-27,5,16900.82
ORD00004,CUST0605,PROD030,2025-09-20,5,19246.13
ORD00005,CUST0654,PROD001,2025-10-05,3,6765.59
ORD00006,CUST0280,PROD014,2024-12-24,4,14887.12
ORD00007,CUST0176,PROD050,2024-11-20,2,9580.64
ORD00008,CUST0306,PROD024,2025-01-18,3,3511.73
ORD00009,CUST0908,PROD022,2025-09-12,3,10700.4
ORD00010,CUST0152,PROD012,2025-09-16,2,5142.12
ORD00011,CUST0083,PROD013,2026-04-30,5,22357.97
ORD00012,CUST0030,PROD028,2026-04-02,2,5771.7
ORD00013,CUST0844,PROD014,2026-05-23,5,3835.31
ORD00014,CUST0047,PROD032,2024-11-10,3,9774.1
ORD00015,CUST0576,PROD028,2025-04-03,3,1675.8
ORD00016,CUST0102,PROD004,2026-02-08,1,3906.35
ORD00017,CUST0933,PROD019,2024-11-11,2,6837.48
ORD00018,CUST0361,PROD019,2024-10-07,4,12178.35
ORD00019,CUST0823,PROD018,2025-08-23,4,16755.51
ORD00020,CUST0050,PROD026,2026-02-20,2,2643.84
ORD00021,CUST0353,PROD005,2026-04-08,3,10041.57
ORD00022,CUST0017,PROD006,2025-02-09,1,819.67
ORD00023,CUST0340,PROD011,2025-04-22,4,14903.78
ORD00024,CUST0841,PROD002,2024-08-21,4,8762.89
ORD00025,CUST0241,PROD044,2025-12-13,3,3672.77
ORD00026,CUST0907,PROD009,2026-04-30,3,6876.87
ORD00027,CUST0178,PROD024,2025-06-29,2,5009.16
ORD00028,CUST0431,PROD011,2025-06-06,5,19979.75
ORD00029,CUST0625,PROD027,2025-05-28,2,1515.57
ORD00030,CUST0046,PROD037,2026-04-10,4,4920.4
ORD00031,CUST0365,PROD006,2026-02-19,3,11944.35
ORD00032,CUST0062,PROD028,2024-09-07,2,2863.29
