order_id,customer_id,product_id,order_date,quantity,sales_amount
ORD00001,CUST0987,PROD021,2025-10-18,3,10998.35
ORD00002,CUST0680,PROD007,2024-06-16,2,5259.43
ORD00003,CUST0153,PROD018,2025-03-13,1,4289.6
ORD00004,CUST0809,PROD009,2026-01-19,2,3895.36
ORD00005,CUST0810,PROD030,2026-04-19,1,4230.8
ORD00006,CUST0835,PROD005,2024-09-26,4,3562.89
ORD00007,CUST0418,PROD025,2024-06-14,2,1576.99
ORD00008,CUST0436,PROD017,2026-06-11,3,9816.21
ORD00009,CUST0689,PROD050,2026-01-23,4,6898.92
ORD00010,CUST0518,PROD019,2025-09-10,1,3429.83
ORD00011,CUST0461,PROD014,2026-06-07,3,2184.27
ORD00012,CUST0773,PROD034,2025-01-27,4,8238.11
ORD00013,CUST0938,PROD034,2024-09-02,2,1330.99
ORD00014,CUST0633,PROD050,2025-02-22,2,4484.1
ORD00015,CUST0368,PROD006,2024-08-29,2,8129.29
ORD00016,CUST0951,PROD029,2025-02-19,5,14001.8
ORD00017,CUST0555,PROD035,2025-07-04,5,14993.3
ORD00018,CUST0325,PROD004,2026-03-15,3,11551.3
ORD00019,CUST0680,PROD023,2025-02-18,5,6720.66
ORD00020,CUST0094,PROD003,2025-04-02,2,1349.67
ORD00021,CUST0615,PROD015,2025-09-29,5,6767.9
ORD00022,CUST0607,PROD003,2024-11-28,2,5964.83
ORD00023,CUST0222,PROD047,2025-10-25,1,3164.24
ORD00024,CUST0903,PROD026,2025-11-02,3,4900.9
ORD00025,CUST0986,PROD010,2024-09-10,3,3524.63
ORD00026,CUST0401,PROD030,2025-05-20,5,7568.87
ORD00027,CUST0960,PROD041,2025-09-15,4,12727.77
ORD00028,CUST0578,PROD044,2025-09-17,2,5179.38
ORD00029,CUST0751,PROD009,2025-05-24,2,9068.75
ORD00030,CUST0250,PROD050,2025-06-12,2,1090.25
ORD00031,CUST0245,PROD037,2024-09-29,3,6032.5
ORD00032,CUST0695,PROD002,2025-11-20,2,1436.81
ORD00033,CUST0240,PROD020,2025-04-25,5,4206.38
ORD00034,CUST0929,PROD048,2026-05-02,4,4532.78
ORD00035,CUST0178,PROD044,2024-10-13,5,23564.56
ORD00036,CUST0521,PROD048,2026-05-21,4,17231.55
ORD00037,CUST0942,PROD023,2024-08-06,5,16038.18
ORD00038,CUST0972,PROD028,2026-03-02,5,22354.76
ORD00039,CUST0880,PROD044,2024-07-31,1,3944.26
ORD00040,CUST0720,PROD017,2026-05-08,3,13125.46
ORD00041,CUST0429,PROD039,2024-06-23,1,701.13
ORD00042,CUST0810,PROD020,2025-08-29,1,2414.51
ORD00043,CUST0432,PROD047,2025-04-12,2,2562.3
ORD00044,CUST0775,PROD030,2025-08-26,4,5564.58
ORD00045,CUST0900,PROD022,2025-03-24,4,13959.1
ORD00046,CUST0776,PROD047,2025-05-25,4,19056.89
ORD00047,CUST0049,PROD008,2025-05-24,5,23076.0
ORD00048,CUST0758,PROD002,2026-05-30,3,4156.14
ORD00049,CUST0150,PROD020,2025-10-03,4,8420.91
ORD00050,CUST0382,PROD028,2024-07-02,1,3006.68
ORD00051,CUST0359,PROD050,2024-08-18,3,11936.21
ORD00052,CUST0713,PROD010,2026-03-23,5,11985.14
ORD00053,CUST0934,PROD014,2024-09-20,1,2594.46
ORD00054,CUST0374,PROD028,2024-10-21,2,6988.87
ORD00055,CUST0805,PROD011,2024-08-09,2,4826.86
ORD00056,CUST0635,PROD049,2026-01-20,3,8632.48
ORD00057,CUST0129,PROD050,2024-06-25,3,2336.96
ORD00058,CUST0702,PROD050,2026-03-04,4,6782.31
ORD00059,CUST0188,PROD022,2025-07-07,4,15427.17
ORD00060,CUST0672,PROD010,2025-11-28,3,4177.69
ORD00061,CUST0915,PROD008,2024-07-16,2,7248.98
ORD00062,CUST0536,PROD020,2025-01-28,5,5195.61
ORD00063,CUST0288,PROD034,2024-11-25,3,6958.28
ORD00064,CUST0173,PROD046,2025-10-02,1,2883.5
ORD00065,CUST0335,PROD021,2025-06-12,5,8770.77
ORD00066,CUST0002,PROD034,2025-07-24,5,18481.94
ORD00067,CUST0493,PROD034,2026-02-22,2,5052.28
ORD00068,CUST0952,PROD040,2026-03-27,3,12573.64
ORD00069,CUST0750,PROD034,2025-04-12,1,3462.53
ORD00070,CUST0878,PROD048,2025-06-30,4,11226.28
ORD00071,CUST0626,PROD038,2026-04-16,2,4683.26
ORD00072,CUST0335,PROD004,2026-02-26,1,773.41
ORD00073,CUST0883,PROD017,2025-09-08,4,18923.92
ORD00074,CUST0289,PROD025,2024-10-23,2,2916.74
ORD00075,CUST0322,PROD026,2026-03-09,3,4660.29
ORD00076,CUST0776,PROD031,2025-10-10,5,4099.25
ORD00077,CUST0139,PROD032,2026-02-16,4,18020.32
ORD00078,CUST0922,PROD026,2026-06-05,2,2930.82
ORD00079,CUST0540,PROD012,2025-08-13,5,13402.17
ORD00080,CUST0676,PROD006,2024-11-18,3,1846.41
ORD00081,CUST0018,PROD025,2025-03-17,2,6913.35
ORD00082,CUST0756,PROD019,2025-08-04,4,13341.64
