payment_id,order_id,payment_method,payment_status
PAY00001,ORD00001,Cash on Delivery,Failed
PAY00002,ORD00002,Net Banking,Successful
PAY00003,ORD00003,Cash on Delivery,Successful
PAY00004,ORD00004,Net Banking,Successful
PAY00005,ORD00005,Cash on Delivery,Successful
PAY00006,ORD00006,Net Banking,Failed
PAY00007,ORD00007,Credit Card,Successful
PAY00008,ORD00008,Debit Card,Successful
PAY00009,ORD00009,Cash on Delivery,Successful
PAY00010,ORD00010,Debit Card,Successful
PAY00011,ORD00011,UPI,Successful
PAY00012,ORD00012,Cash on Delivery,Successful
PAY00013,ORD00013,Cash on Delivery,Successful
PAY00014,ORD00014,Net Banking,Successful
PAY00015,ORD00015,UPI,Successful
PAY00016,ORD00016,Credit Card,Failed
PAY00017,ORD00017,Credit Card,Successful
PAY00018,ORD00018,Credit Card,Successful
PAY00019,ORD00019,Cash on Delivery,Successful
PAY00020,ORD00020,Net Banking,Successful
PAY00021,ORD00021,Debit Card,Successful
PAY00022,ORD00022,Debit Card,Successful
PAY00023,ORD00023,Cash on Delivery,Successful
PAY00024,ORD00024,Debit Card,Refunded
PAY00025,ORD00025,Cash on Delivery,Successful
PAY00026,ORD00026,UPI,Successful
PAY00027,ORD00027,Debit Card,Successful
PAY00028,ORD00028,Net Banking,Successful
PAY00029,ORD00029,Cash on Delivery,Refunded
PAY00030,ORD00030,Cash on Delivery,Successful
PAY00031,ORD00031,UPI,Successful
PAY00032,ORD00032,Credit Card,Successful
PAY00033,ORD00033,Cash on Delivery,Successful
PAY00034,ORD00034,Debit Card,Successful
PAY00035,ORD00035,UPI,Failed
PAY00036,ORD00036,UPI,Successful
PAY00037,ORD00037,Net Banking,Successful
PAY00038,ORD00038,UPI,Successful
PAY00039,ORD00039,Debit Card,Successful
PAY00040,ORD00040,Cash on Delivery,Successful
PAY00041,ORD00041,Debit Card,Successful
PAY00042,ORD00042,Cash on Delivery,Successful
PAY00043,ORD00043,Debit Card,Successful
PAY00044,ORD00044,Cash on Delivery,Successful
PAY00045,ORD00045,Credit Card,Successful
PAY00046,ORD00046,Credit Card,Successful
PAY00047,ORD00047,Debit Card,Successful
PAY00048,ORD00048,Cash on Delivery,Successful
PAY00049,ORD00049,UPI,Successful
PAY00050,ORD00050,Cash on Delivery,Successful
PAY00051,ORD00051,Cash on Delivery,Successful
PAY00052,ORD00052,Net Banking,Successful
PAY00053,ORD00053,UPI,Refunded
PAY00054,ORD00054,UPI,Successful
PAY00055,ORD00055,Net Banking,Successful
PAY00056,ORD00056,Credit Card,Successful
PAY00057,ORD00057,Cash on Delivery,Successful
PAY00058,ORD00058,Credit Card,Successful
PAY00059,ORD00059,Net Banking,Successful
PAY00060,ORD00060,Credit Card,Successful
PAY00061,ORD00061,Net Banking,Successful
PAY00062,ORD00062,UPI,Successful
PAY00063,ORD00063,Debit Card,Successful
PAY00064,ORD00064,Credit Card,Successful
PAY00065,ORD00065,UPI,Failed
PAY00066,ORD00066,Cash on Delivery,Successful
PAY00067,ORD00067,Cash on Delivery,Successful
PAY00068,ORD00068,Debit Card,Successful
PAY00069,ORD00069,Net Banking,Successful
PAY00070,ORD00070,Net Banking,Successful
PAY00071,ORD00071,Net Banking,Successful
PAY00072,ORD00072,Debit Card,Successful
PAY00073,ORD00073,Debit Card,Successful
PAY00074,ORD00074,UPI,Successful
PAY00075,ORD00075,Credit Card,Successful
PAY00076,ORD00076,Credit Card,Successful
PAY00077,ORD00077,Credit Card,Failed
PAY00078,ORD00078,Credit Card,Successful
PAY00079,ORD00079,Net Banking,Successful
PAY00080,ORD00080,Credit Card,Successful
PAY00081,ORD00081,Debit Card,Successful
PAY00082,ORD00082,Net Banking,Refunded
PAY00083,ORD00083,Net Banking,Successful
PAY00084,ORD00084,UPI,Successful
PAY00085,ORD00085,Credit Card,Failed
PAY00086,ORD00086,Credit Card,Successful
PAY00087,ORD00087,UPI,Successful
PAY00088,ORD00088,Credit Card,Successful
PAY00089,ORD00089,UPI,Successful
PAY00090,ORD00090,Cash on Delivery,Successful
PAY00091,ORD00091,UPI,Successful
PAY00092,ORD00092,Debit Card,Successful
PAY00093,ORD00093,Net Banking,Successful
PAY00094,ORD00094,Net Banking,Successful
PAY00095,ORD00095,Credit Card,Successful
PAY00096,ORD00096,UPI,Successful
PAY00097,ORD00097,UPI,Successful
PAY00098,ORD00098,Net Banking,Successful
PAY00099,ORD00099,UPI,Successful
PAY00100,ORD00100,Credit Card,Successful
PAY00101,ORD00101,Credit Card,Successful
PAY00102,ORD00102,UPI,Successful
PAY00103,ORD00103,Net Banking,Successful
PAY00104,ORD00104,UPI,Successful
PAY00105,ORD00105,Debit Card,Successful
PAY00106,ORD00106,Cash on Delivery,Successful
PAY00107,ORD00107,Net Banking,Successful
PAY00108,ORD00108,Credit Card,Failed
PAY00109,ORD00109,Net Banking,Successful
