review_id,customer_id,product_id,rating,review_date
REV00001,CUST0359,PROD022,3,2025-02-04
REV00002,CUST0761,PROD030,4,2025-06-06
REV00003,CUST0311,PROD013,1,2024-06-23
REV00004,CUST0523,PROD004,4,2026-01-27
REV00005,CUST0028,PROD050,4,2024-07-29
REV00006,CUST0683,PROD008,3,2026-04-18
REV00007,CUST0897,PROD008,4,2025-10-09
REV00008,CUST0098,PROD022,1,2024-12-11
REV00009,CUST0731,PROD014,5,2024-09-27
REV00010,CUST0828,PROD034,4,2026-02-14
REV00011,CUST0045,PROD006,5,2025-11-03
REV00012,CUST0238,PROD013,4,2025-03-08
REV00013,CUST0856,PROD040,3,2025-06-10
REV00014,CUST0152,PROD044,4,2025-04-04
REV00015,CUST0755,PROD004,4,2025-06-09
REV00016,CUST0604,PROD013,1,2025-02-26
REV00017,CUST0894,PROD025,3,2025-09-08
REV00018,CUST0724,PROD025,4,2025-07-28
REV00019,CUST0643,PROD038,3,2024-10-20
REV00020,CUST0521,PROD001,5,2026-05-29
REV00021,CUST0350,PROD023,4,2024-08-01
REV00022,CUST0511,PROD007,3,2025-08-06
REV00023,CUST0663,PROD021,5,2025-11-01
REV00024,CUST0632,PROD022,1,2025-06-30
REV00025,CUST0756,PROD049,1,2024-12-19
REV00026,CUST0590,PROD002,3,2026-05-03
REV00027,CUST0321,PROD038,2,2026-02-02
REV00028,CUST0945,PROD026,5,2024-09-03
REV00029,CUST0119,PROD012,5,2024-06-30
REV00030,CUST0243,PROD016,2,2026-01-19
REV00031,CUST0868,PROD014,1,2025-09-09
REV00032,CUST0658,PROD019,3,2024-12-31
REV00033,CUST0991,PROD001,1,2025-05-02
REV00034,CUST0448,PROD007,2,2025-12-04
REV00035,CUST0256,PROD034,2,2025-10-17
REV00036,CUST0409,PROD026,5,2025-01-06
REV00037,CUST0176,PROD032,2,2025-11-19
REV00038,CUST0780,PROD041,3,2026-05-08
REV00039,CUST0830,PROD046,4,2025-07-26
REV00040,CUST0344,PROD018,4,2025-04-28
REV00041,CUST0188,PROD013,3,2024-12-21
REV00042,CUST0644,PROD009,5,2025-02-25
REV00043,CUST0429,PROD019,2,2025-10-15
REV00044,CUST0747,PROD018,5,2025-01-28
REV00045,CUST0765,PROD050,2,2025-11-04
REV00046,CUST0813,PROD040,1,2024-11-15
REV00047,CUST0777,PROD007,1,2024-08-18
REV00048,CUST0516,PROD043,1,2025-07-08
REV00049,CUST0427,PROD030,2,2025-01-27
REV00050,CUST0352,PROD003,5,2025-09-28
